     Total   Exclusive  Set shared  Filename
     0.00B       0.00B           -  /var/lib/alternatives/libopenblas_pthreads.so.0
     0.00B       0.00B           -  /var/lib/alternatives/libblas.so.3
     0.00B       0.00B           -  /var/lib/alternatives/lua
     0.00B       0.00B           -  /var/lib/alternatives/xml-commons-apis
     0.00B       0.00B           -  /var/lib/alternatives/liblapack.so.3
     0.00B       0.00B           -  /var/lib/alternatives/transmission
     0.00B       0.00B           -  /var/lib/alternatives/default-xsession.desktop
     0.00B       0.00B           -  /var/lib/alternatives/chardetect
     0.00B       0.00B           -  /var/lib/alternatives/easy_install
     0.00B       0.00B           -  /var/lib/alternatives/alternate-install-present
     0.00B       0.00B           -  /var/lib/alternatives/libglx.so
     0.00B       0.00B           -  /var/lib/alternatives/mt
     0.00B       0.00B           -  /var/lib/alternatives/vim
     0.00B       0.00B           -  /var/lib/alternatives/pbr
     0.00B       0.00B           -  /var/lib/alternatives/ImageMagick-7
     0.00B       0.00B           -  /var/lib/alternatives/ld
     0.00B       0.00B           -  /var/lib/alternatives/java
     0.00B       0.00B           -  /var/lib/alternatives/jre_openjdk
     0.00B       0.00B           -  /var/lib/alternatives/jre_11
     0.00B       0.00B           -  /var/lib/alternatives/vncviewer
     0.00B       0.00B           -  /var/lib/alternatives/node-default
     0.00B       0.00B           -  /var/lib/alternatives/npm-default
     0.00B       0.00B           -  /var/lib/alternatives/npx-default
     0.00B       0.00B           -  /var/lib/alternatives/google-chrome
     0.00B       0.00B           -  /var/lib/alternatives/pygmentize
     0.00B       0.00B           -  /var/lib/alternatives/csscapture
     0.00B       0.00B           -  /var/lib/alternatives/pybabel
     0.00B       0.00B           -  /var/lib/alternatives/rake
     0.00B       0.00B           -  /var/lib/alternatives/rake.ruby2.5
     0.00B       0.00B           -  /var/lib/alternatives/rdoc
     0.00B       0.00B           -  /var/lib/alternatives/rdoc.ruby2.5
     0.00B       0.00B           -  /var/lib/alternatives/ri
     0.00B       0.00B           -  /var/lib/alternatives/ri.ruby2.5
     0.00B       0.00B           -  /var/lib/alternatives/clang
     0.00B       0.00B           -  /var/lib/alternatives/markdown_py
     0.00B       0.00B           -  /var/lib/alternatives/kdesu
     0.00B       0.00B           -  /var/lib/alternatives/ctags
     0.00B       0.00B           -  /var/lib/alternatives/gst-install-plugins-helper
     0.00B       0.00B           -  /var/lib/alternatives
     0.00B       0.00B           -  /var/lib/systemd/migrated/ca-certificates
     0.00B       0.00B           -  /var/lib/systemd/migrated/klogd
     0.00B       0.00B           -  /var/lib/systemd/migrated/kbdsettings
     0.00B       0.00B           -  /var/lib/systemd/migrated/shadow
     0.00B       0.00B           -  /var/lib/systemd/migrated/dbus
     0.00B       0.00B           -  /var/lib/systemd/migrated/dnsmasq
     0.00B       0.00B           -  /var/lib/systemd/migrated/pppoe
     0.00B       0.00B           -  /var/lib/systemd/migrated/pppoe-server
     0.00B       0.00B           -  /var/lib/systemd/migrated/raw
     0.00B       0.00B           -  /var/lib/systemd/migrated/fstrim
     0.00B       0.00B           -  /var/lib/systemd/migrated/rpcbind
     0.00B       0.00B           -  /var/lib/systemd/migrated/postfix
     0.00B       0.00B           -  /var/lib/systemd/migrated/iscsid
     0.00B       0.00B           -  /var/lib/systemd/migrated/iscsi
     0.00B       0.00B           -  /var/lib/systemd/migrated/ebtables
     0.00B       0.00B           -  /var/lib/systemd/migrated/dm-event
     0.00B       0.00B           -  /var/lib/systemd/migrated/apparmor
     0.00B       0.00B           -  /var/lib/systemd/migrated/nfs
     0.00B       0.00B           -  /var/lib/systemd/migrated/auth-rpcgss-module
     0.00B       0.00B           -  /var/lib/systemd/migrated/nfs-idmapd
     0.00B       0.00B           -  /var/lib/systemd/migrated/nfs-blkmap
     0.00B       0.00B           -  /var/lib/systemd/migrated/rpc-statd-notify
     0.00B       0.00B           -  /var/lib/systemd/migrated/rpc-gssd
     0.00B       0.00B           -  /var/lib/systemd/migrated/rpc-statd
     0.00B       0.00B           -  /var/lib/systemd/migrated/rpc-svcgssd
     0.00B       0.00B           -  /var/lib/systemd/migrated/polkit
     0.00B       0.00B           -  /var/lib/systemd/migrated/cups
     0.00B       0.00B           -  /var/lib/systemd/migrated/cups-lpd@
     0.00B       0.00B           -  /var/lib/systemd/migrated/cups-lpd
     0.00B       0.00B           -  /var/lib/systemd/migrated/accounts-daemon
     0.00B       0.00B           -  /var/lib/systemd/migrated/cups-browsed
     0.00B       0.00B           -  /var/lib/systemd/migrated/smartd
     0.00B       0.00B           -  /var/lib/systemd/migrated/nscd
     0.00B       0.00B           -  /var/lib/systemd/migrated/logrotate
     0.00B       0.00B           -  /var/lib/systemd/migrated/irqbalance
     0.00B       0.00B           -  /var/lib/systemd/migrated/exchange-bmc-os-info
     0.00B       0.00B           -  /var/lib/systemd/migrated/ipmievd
     0.00B       0.00B           -  /var/lib/systemd/migrated/haveged
     0.00B       0.00B           -  /var/lib/systemd/migrated/gpm
     0.00B       0.00B           -  /var/lib/systemd/migrated/auditd
     0.00B       0.00B           -  /var/lib/systemd/migrated/ipmi
     0.00B       0.00B           -  /var/lib/systemd/migrated/usb_modeswitch@
     0.00B       0.00B           -  /var/lib/systemd/migrated/display-manager
     0.00B       0.00B           -  /var/lib/systemd/migrated/wpa_supplicant
     0.00B       0.00B           -  /var/lib/systemd/migrated/mcelog
     0.00B       0.00B           -  /var/lib/systemd/migrated/chronyd
     0.00B       0.00B           -  /var/lib/systemd/migrated/chrony-wait
     0.00B       0.00B           -  /var/lib/systemd/migrated/wicked
     0.00B       0.00B           -  /var/lib/systemd/migrated/udisks2
     0.00B       0.00B           -  /var/lib/systemd/migrated/ModemManager
     0.00B       0.00B           -  /var/lib/systemd/migrated/snmpd
     0.00B       0.00B           -  /var/lib/systemd/migrated/snmptrapd
     0.00B       0.00B           -  /var/lib/systemd/migrated/man-db-create
     0.00B       0.00B           -  /var/lib/systemd/migrated/mandb
     0.00B       0.00B           -  /var/lib/systemd/migrated/klog
     0.00B       0.00B           -  /var/lib/systemd/migrated/firewalld
     0.00B       0.00B           -  /var/lib/systemd/migrated/tuned
     0.00B       0.00B           -  /var/lib/systemd/migrated/rsyncd
     0.00B       0.00B           -  /var/lib/systemd/migrated/iscsiuio
     0.00B       0.00B           -  /var/lib/systemd/migrated/sshd
     0.00B       0.00B           -  /var/lib/systemd/migrated/rsyslog
     0.00B       0.00B           -  /var/lib/systemd/migrated/cron
     0.00B       0.00B           -  /var/lib/systemd/migrated/packagekit
     0.00B       0.00B           -  /var/lib/systemd/migrated/packagekit-background
     0.00B       0.00B           -  /var/lib/systemd/migrated/nmb
     0.00B       0.00B           -  /var/lib/systemd/migrated/smb
     0.00B       0.00B           -  /var/lib/systemd/migrated/samba-ad-dc
     0.00B       0.00B           -  /var/lib/systemd/migrated/backup-rpmdb
     0.00B       0.00B           -  /var/lib/systemd/migrated/backup-sysconfig
     0.00B       0.00B           -  /var/lib/systemd/migrated/check-battery
     0.00B       0.00B           -  /var/lib/systemd/migrated/snapper-boot
     0.00B       0.00B           -  /var/lib/systemd/migrated/snapper-cleanup
     0.00B       0.00B           -  /var/lib/systemd/migrated/snapper-timeline
     0.00B       0.00B           -  /var/lib/systemd/migrated/usbmuxd
     0.00B       0.00B           -  /var/lib/systemd/migrated/lifecycle-report
     0.00B       0.00B           -  /var/lib/systemd/migrated/dmraid-activation
     0.00B       0.00B           -  /var/lib/systemd/migrated/autofs
     0.00B       0.00B           -  /var/lib/systemd/migrated/btrfsmaintenance-refresh
     0.00B       0.00B           -  /var/lib/systemd/migrated/btrfs-balance
     0.00B       0.00B           -  /var/lib/systemd/migrated/btrfs-defrag
     0.00B       0.00B           -  /var/lib/systemd/migrated/btrfs-scrub
     0.00B       0.00B           -  /var/lib/systemd/migrated/btrfs-trim
     0.00B       0.00B           -  /var/lib/systemd/migrated/wacom-inputattach@
     0.00B       0.00B           -  /var/lib/systemd/migrated/purge-kernels
     0.00B       0.00B           -  /var/lib/systemd/migrated/multipathd
     0.00B       0.00B           -  /var/lib/systemd/migrated/mdmonitor
     0.00B       0.00B           -  /var/lib/systemd/migrated/mdcheck_start
     0.00B       0.00B           -  /var/lib/systemd/migrated/mdcheck_continue
     0.00B       0.00B           -  /var/lib/systemd/migrated/mdmonitor-oneshot
     0.00B       0.00B           -  /var/lib/systemd/migrated/blk-availability
     0.00B       0.00B           -  /var/lib/systemd/migrated/lvm2-monitor
     0.00B       0.00B           -  /var/lib/systemd/migrated/lvm2-lvmetad
     0.00B       0.00B           -  /var/lib/systemd/migrated/lvm2-lvmpolld
     0.00B       0.00B           -  /var/lib/systemd/migrated/kexec-load
     0.00B       0.00B           -  /var/lib/systemd/migrated/grub2-once
     0.00B       0.00B           -  /var/lib/systemd/migrated/YaST2-Second-Stage
     0.00B       0.00B           -  /var/lib/systemd/migrated/YaST2-Firstboot
     0.00B       0.00B           -  /var/lib/systemd/migrated/xvnc
     0.00B       0.00B           -  /var/lib/systemd/migrated/NetworkManager
     0.00B       0.00B           -  /var/lib/systemd/migrated/NetworkManager-dispatcher
     0.00B       0.00B           -  /var/lib/systemd/migrated/tlp
     0.00B       0.00B           -  /var/lib/systemd/migrated/tlp-sleep
     0.00B       0.00B           -  /var/lib/systemd/migrated/mlocate
